1단계	2단계	격자 X	격자 Y	경도(시)	경도(분)	경도(초)	위도(시)	위도(분)	위도(초)
서울특별시		60	127	126	58	48.03	37	33	48.85
서울특별시	종로구	60	127	126	58	53.91	37	34	13.36
서울특별시	중구	60	127	126	59	58.71	37	33	39.61
서울특별시	용산구	60	126	126	58	3.08	37	32	9.94
서울특별시	성동구	61	127	127	2	20.4	37	33	38.2
서울특별시	광진구	62	126	127	5	4.32	37	32	8.66
서울특별시	동대문구	61	127	127	2	31.71	37	34	17.85
서울특별시	중랑구	62	128	127	5	41.2	37	36	13.7
서울특별시	성북구	61	127	127	1	13.2	37	35	10.98
서울특별시	강북구	61	128	127	1	39.79	37	38	13.04
서울특별시	도봉구	61	129	127	2	58.28	37	39	57.0
서울특별시	노원구	61	129	127	3	30.2	37	39	5.26
서울특별시	은평구	59	127	126	55	52.47	37	35	59.89
서울특별시	서대문구	59	127	126	56	20.03	37	34	34.92
서울특별시	마포구	59	127	126	54	37.91	37	33	38.54
서울특별시	양천구	58	126	126	52	7.35	37	30	51.23
서울특별시	강서구	58	126	126	51	6.03	37	32	53.36
서울특별시	구로구	58	125	126	53	22.55	37	29	33.54
서울특별시	금천구	59	124	126	54	15.11	37	26	56.79
서울특별시	영등포구	58	126	126	53	54.03	37	31	25.0
서울특별시	동작구	59	125	126	56	29.67	37	30	34.76
서울특별시	관악구	59	125	126	57	13.84	37	28	31.39
서울특별시	서초구	61	125	127	2	5.32	37	28	50.83
서울특별시	강남구	61	126	127	2	58.4	37	30	52.47
서울특별시	송파구	62	126	127	6	28.55	37	30	42.32
서울특별시	강동구	62	126	127	7	33.11	37	31	38.52
부산광역시		98	76	129	4	37.03	35	10	37.27
부산광역시	중구	97	74	129	2	4.23	35	6	11.58
부산광역시	서구	97	74	129	1	34.96	35	5	41.41
부산광역시	동구	98	75	129	3	33.03	35	8	9.22
부산광역시	영도구	98	74	129	4	12.67	35	5	17.22
부산광역시	부산진구	97	75	129	3	19.15	35	9	35.83
부산광역시	동래구	98	76	129	5	9.08	35	12	6.74
부산광역시	남구	98	75	129	5	11.4	35	8	0.27
부산광역시	북구	96	76	128	59	32.91	35	11	39.05
부산광역시	해운대구	99	75	129	9	56.91	35	9	36.07
부산광역시	사하구	96	74	128	58	37.35	35	6	5.14
부산광역시	금정구	98	77	129	5	39.55	35	14	24.28
부산광역시	강서구	96	76	128	58	58.47	35	12	32.99
부산광역시	연제구	98	76	129	4	55.47	35	10	23.47
부산광역시	수영구	99	75	129	6	55.35	35	8	32.88
부산광역시	사상구	96	75	128	59	36.0	35	8	58.08
부산광역시	기장군	100	77	129	13	28.11	35	14	28.86
대구광역시		89	90	128	36	12.79	35	52	6.75
대구광역시	중구	89	90	128	36	30.23	35	51	58.63
대구광역시	동구	90	91	128	38	15.76	35	53	1.02
대구광역시	서구	88	90	128	33	41.08	35	52	7.66
대구광역시	남구	89	90	128	35	59.28	35	50	34.72
대구광역시	북구	89	91	128	35	6.08	35	52	57.72
대구광역시	수성구	89	90	128	37	58.32	35	51	18.75
대구광역시	달서구	88	90	128	32	6.23	35	49	36.94
대구광역시	달성군	86	88	128	25	59.79	35	46	18.05
대구광역시	군위군	88	99	128	34	30.28	36	14	23.99
인천광역시		55	124	126	42	26.47	37	27	11.64
인천광역시	중구	54	125	126	37	24.84	37	28	15.36
인천광역시	동구	54	125	126	38	43.32	37	28	15.73
인천광역시	미추홀구	54	124	126	39	9.67	37	27	38.45
인천광역시	연수구	55	123	126	40	49.59	37	24	25.64
인천광역시	남동구	56	124	126	44	1.67	37	26	40.27
인천광역시	부평구	55	125	126	43	26.76	37	30	15.36
인천광역시	계양구	56	126	126	44	23.11	37	32	5.25
인천광역시	서구	55	126	126	40	41.52	37	32	33.69
인천광역시	강화군	51	130	126	29	24.0	37	44	37.89
인천광역시	옹진군	54	124	126	38	20.0	37	26	37.41
광주광역시		58	74	126	51	12.11	35	9	25.11
광주광역시	동구	60	74	126	55	30.64	35	8	35.16
광주광역시	서구	59	74	126	53	36.28	35	8	58.14
광주광역시	남구	59	73	126	54	36.52	35	7	8.53
광주광역시	북구	59	75	126	54	50.84	35	10	16.05
광주광역시	광산구	57	74	126	47	44.84	35	8	11.14
대전광역시		67	100	127	23	11.64	36	20	49.63
대전광역시	동구	68	100	127	26	5.47	36	19	26.88
대전광역시	중구	68	100	127	25	23.2	36	19	21.47
대전광역시	서구	67	100	127	23	8.79	36	21	8.94
대전광역시	유성구	67	101	127	21	30.03	36	21	33.72
대전광역시	대덕구	68	100	127	25	3.67	36	20	37.66
울산광역시		102	84	129	18	49.28	35	32	7.47
울산광역시	중구	102	84	129	20	5.55	35	33	58.83
울산광역시	남구	102	84	129	19	56.59	35	32	26.75
울산광역시	동구	104	83	129	25	8.23	35	30	6.8
울산광역시	북구	103	85	129	21	48.76	35	34	46.88
울산광역시	울주군	101	84	129	17	49.79	35	31	50.66
세종특별자치시		66	103	127	17	20.65	36	28	48.04
세종특별자치시	세종특별자치시	66	103	127	17	20.65	36	28	48.04
경기도		60	120	127	0	42.08	37	16	18.64
경기도	수원시장안구	60	121	127	0	44.0	37	18	3.64
경기도	수원시권선구	60	120	126	58	26.67	37	15	17.04
경기도	수원시팔달구	61	121	127	2	16.2	37	16	59.17
경기도	수원시영통구	61	120	127	2	55.08	37	15	22.72
경기도	성남시수정구	63	124	127	8	51.79	37	26	50.97
경기도	성남시중원구	63	124	127	8	21.91	37	25	39.61
경기도	성남시분당구	62	123	127	7	15.67	37	22	47.89
경기도	의정부시	61	130	127	2	9.03	37	44	7.04
경기도	안양시만안구	59	123	126	56	4.2	37	23	1.6
경기도	안양시동안구	59	123	126	57	12.08	37	23	22.92
경기도	부천시원미구	57	125	126	47	13.18928	37	29	47.73308
경기도	부천시소사구	57	125	126	47	59.78855	37	28	48.13999
경기도	부천시오정구	57	126	126	47	44.92713	37	31	42.05338
경기도	광명시	58	125	126	52	0.15	37	28	32.7
경기도	평택시	62	114	127	6	52.76	36	59	21.98
경기도	동두천시	61	134	127	3	45.55	37	54	3.3
경기도	안산시상록구	58	121	126	50	48.55	37	17	54.67
경기도	안산시단원구	57	121	126	48	51.91	37	19	0.22
경기도	고양시덕양구	57	128	126	50	3.11	37	38	4.5
경기도	고양시일산동구	56	129	126	46	37.4	37	39	21.27
경기도	고양시일산서구	56	129	126	45	10.0	37	40	20.95
경기도	과천시	60	124	126	59	23.28	37	25	34.94
경기도	구리시	62	127	127	7	54.71	37	35	29.85
경기도	남양주시	64	128	127	13	7.08	37	37	59.44
경기도	오산시	62	118	127	4	46.71	37	8	48.89
경기도	시흥시	57	123	126	48	18.28	37	22	38.35
경기도	군포시	59	122	126	56	15.0	37	21	31.17
경기도	의왕시	60	122	126	58	13.4	37	20	31.02
경기도	하남시	64	126	127	13	1.2	37	32	11.39
경기도	용인시처인구	64	119	127	12	13.84	37	13	53.32
경기도	용인시기흥구	62	120	127	7	0.44	37	16	39.35
경기도	용인시수지구	62	121	127	6	0.35	37	19	9.79
경기도	파주시	56	131	126	46	55.03	37	45	25.5
경기도	이천시	68	121	127	26	35.59	37	16	31.57
경기도	안성시	65	115	127	16	54.64	37	0	18.63
경기도	김포시	55	128	126	43	4.0	37	36	44.85
경기도	화성시	57	119	126	50	0.71	37	11	48.54
경기도	광주시	65	123	127	15	28.03	37	24	52.22
경기도	양주시	61	131	127	2	52.15	37	46	56.82
경기도	포천시	64	134	127	12	8.71	37	53	31.76
경기도	여주시	71	121	127	38	22.64	37	17	43.29
경기도	연천군	61	138	127	4	37.44	38	5	36.11
경기도	가평군	69	133	127	30	42.4	37	49	43.79
경기도	양평군	69	125	127	29	23.59	37	29	20.17
충청북도		69	107	127	29	36.91	36	37	57.0
충청북도	청주시상당구	69	106	127	30	42.23	36	35	2.39
충청북도	청주시서원구	69	107	127	28	59.84	36	38	14.14
충청북도	청주시흥덕구	67	106	127	21	33.91	36	37	5.52
충청북도	청주시청원구	69	107	127	29	15.59	36	38	39.5
충청북도	충주시	76	114	127	55	41.32	36	59	17.45
충청북도	제천시	81	118	128	11	35.35	37	7	47.17
충청북도	보은군	73	103	127	43	53.79	36	29	11.52
충청북도	옥천군	71	99	127	34	25.08	36	18	12.78
충청북도	영동군	74	97	127	47	8.2	36	10	19.41
충청북도	증평군	71	110	127	34	59.84	36	46	55.85
충청북도	진천군	68	111	127	26	15.52	36	51	9.14
충청북도	괴산군	74	111	127	47	19.79	36	48	44.75
충청북도	음성군	72	113	127	41	33.44	36	56	14.66
충청북도	단양군	84	115	128	22	4.23	36	58	54.41
충청남도		68	100	127	25	22.64	36	19	25.94
충청남도	천안시동남구	63	110	127	9	8.88	36	48	14.85
충청남도	천안시서북구	63	112	127	9	25.91	36	52	32.01
충청남도	공주시	63	102	127	7	16.03	36	26	37.01
충청남도	보령시	54	100	126	36	53.59	36	19	50.07
충청남도	아산시	60	110	127	0	16.71	36	47	13.58
충청남도	서산시	51	110	126	27	7.79	36	46	55.55
충청남도	논산시	62	97	127	6	3.28	36	11	3.13
충청남도	계룡시	65	99	127	15	3.35	36	16	18.61
충청남도	당진시	54	112	126	37	48.91	36	53	26.7
충청남도	금산군	69	95	127	29	25.11	36	6	21.13
충청남도	부여군	59	99	126	54	42.71	36	16	22.16
충청남도	서천군	55	94	126	41	38.0	36	4	38.66
충청남도	청양군	57	103	126	48	15.32	36	27	22.57
충청남도	홍성군	55	106	126	39	46.47	36	35	54.1
충청남도	예산군	58	107	126	51	3.15	36	40	47.3
